Time (s),Terminal Voltage Vt (V),State of Charge Z (%),Polarization Voltage Vp (V)
6722,2.98039558287513,29.384897533328,0.0148875456108967
6723,2.97966312957275,29.3786141146907,0.0145142248249964
6724,2.97910541279786,29.3518853555266,0.0146749987926608
6725,2.97858774964827,29.3209086011828,0.0149213930229838
6726,2.97798064771774,29.2860651786916,0.0149170203247934
6727,2.9776907711562,29.2693056981008,0.0147258837400594
6728,2.97723497973332,29.2406548508766,0.0149723919790973
6729,2.97680151543743,29.2182478048568,0.0146419111621463
6730,2.97593791125663,29.1601108258557,0.0157315855727346
6731,2.97533783289802,29.1264161343851,0.0155227637908835
6732,2.97512351002397,29.1168921210487,0.0149210804313617
6733,2.97437893021768,29.0701149394421,0.0154747059762912
6734,2.97392999587432,29.0497504951268,0.014684869175342
6735,2.97303240340028,28.9891265363924,0.0158002624382145
6736,2.97239146470228,28.9555749617844,0.0153055667441287
6737,2.9717758046397,28.9159526704861,0.0156434123691299
6738,2.97087049905436,28.8660425948016,0.0154680710557867
6739,2.97068749328815,28.8598287300226,0.0144867897373233
6740,2.96993545550577,28.8093542246552,0.0153560535930617
6741,2.96933464964357,28.7777770585312,0.0149713544384172
6742,2.96888981676386,28.7497861725864,0.015067836594446
6743,2.96812400743203,28.7007706177951,0.0156712901601381
6744,2.96751037172212,28.6697429815652,0.0150941315417515
6745,2.96716809777087,28.6497099129968,0.0148544890020291
6746,2.9668332594104,28.6317839565029,0.0145660802446577
6747,2.96660439651549,28.6158508031293,0.0147511002198348
6748,2.96618506530249,28.5929917984289,0.0146559310473936
6749,2.96580301756474,28.5699415625694,0.0147390014892516
6750,2.96560845041628,28.5616464045034,0.0142502564660027
6751,2.96513627541815,28.5256503619603,0.0152576470369933
6752,2.96487656983026,28.5153061991215,0.014672138697833
6753,2.96422743133148,28.4735304673616,0.0153178164056291
6754,2.96378285641875,28.4507723309588,0.0149111036027853
6755,2.96359950020283,28.4405435026038,0.0145827171362471
6756,2.96360690589719,28.4441155759502,0.0140435206503056
6757,2.96281105736128,28.3903362073543,0.0152573065331971
6758,2.96202882281351,28.3453931655872,0.0153397972693646
6759,2.9615740497881,28.3195692401656,0.0150893602347906
6760,2.96077607446722,28.2697121642314,0.0155666389227593
6761,2.96041136126714,28.2543147063548,0.0146829420046536
6762,2.95988375732762,28.22016341126,0.0150598825033961
6763,2.95928037235447,28.1822305073367,0.0153908817384621
6764,2.95842622835919,28.1334549880377,0.0154371977670903
6765,2.95803318757303,28.1109588824718,0.0151068885397435
6766,2.95739179348773,28.0723924661167,0.0152764552386984
6767,2.95699294411254,28.0503563927106,0.0150100673932548
6768,2.95656464720309,28.0286925686877,0.0146050493069857
6769,2.95605541392026,27.9921735653236,0.0153129073528965
6770,2.95549018039902,27.9582215544228,0.0154801314828472
6771,2.95502350105312,27.9361789412002,0.0148470140657727
6772,2.95444836417245,27.9005346784615,0.0150548109250249
6773,2.95394074961668,27.871650808854,0.0149291392417205
6774,2.95368405471024,27.8585045322594,0.0145227473242814
6775,2.95337551228667,27.8343464363939,0.0151523424148914
6776,2.95269773859257,27.7959576212014,0.0152585641983668
6777,2.95205253360375,27.7590591774187,0.0152006067969901
6778,2.95131754881112,27.7138592490638,0.015517436888018
6779,2.95061184285879,27.6744216282763,0.0153014193218312
6780,2.95036121125254,27.6629816198911,0.0145950747342057
6781,2.9502827451268,27.6591919792913,0.0142909841266142
6782,2.94966772753424,27.6156506149228,0.015392754320863
6783,2.94902986180615,27.5836802602923,0.0149229470457427
6784,2.94871665111687,27.5663347563008,0.0146135656740282
6785,2.94830667698324,27.5392751440515,0.0149173287535182
6786,2.94777406241969,27.5105206869077,0.014739545525097
6787,2.94707404094383,27.4642291201427,0.0154391365551907
6788,2.94702989271647,27.4710899442057,0.0140518870901739
6789,2.94628967613916,27.4163520464093,0.0155269060708342
6790,2.94522872448172,27.3520873315983,0.0161266993772585
6791,2.94461899877358,27.3221715833336,0.0153114368426611
6792,2.94377961659962,27.270565618215,0.015599383580898
6793,2.94302385118517,27.2259715759857,0.015576556519063
6794,2.94253835136501,27.2015669113549,0.014938765673005
6795,2.94224227895243,27.1837046271004,0.0147722971472744
6796,2.94226688891817,27.1919639042721,0.0137547113269975
6797,2.94176740676099,27.1569864300441,0.0145672791112241
6798,2.94117407257962,27.1176570846905,0.0152427276621513
